,companyName,Freq,RIC,mnemonic,name,searchTerm,DmitrySearchTerm,MarisSearchTerm,TwitterAccount,hashtagSearch
92,HHG,63,HHG.HN,VT:HHG,HOANGHA,HHG,,,,
93,Hotel Property Investments,63,0219.HK,K:SHUN,SHUN HO PR.INVS.,Hotel Property Investments,,,,
94,HT&E,63,HT1.AX,A:HT1X,HT&E,HT&E,,,,
95,Hutchison Telecomunications (Australia),63,HTA.AX,A:HTAX,HUTCHISON TELECOM.AUS.,Hutchison Telecomunications (Australia),,,,
96,Iluka Resources,63,ILU.AX,A:ILUX,ILUKA RESOURCES,Iluka Resources,,,,
97,Incitec Pivot Ltd,63,IPL.AX,A:IPLX,INCITEC PIVOT,Incitec Pivot Ltd,,,,
98,Independence Group NL,63,IGO.AX,A:IGOX,IGO,Independence Group NL,,,,
99,Infigen Energy,63,IFN.AX,A:IFNX,INFIGEN ENERGY STAPLED UNITS,Infigen Energy,,,,
100,Infomedia,63,INFO.NS,IN:FMI,INFOMEDIA PRESS,Infomedia,,,,
101,Ingenia Communities Group,63,INA.AX,A:INAX,INGENIA COMMUNITIES GROUP STAPLED UNITS,Ingenia Communities Group,,,,
102,Insurance Australia Group,63,QBE.AX,A:QBEX,QBE INSURANCE GROUP,Insurance Australia Group,,,,
103,InvoCare,63,IVC.AX,A:IVCX,INVOCARE,InvoCare,,,,
104,IOOF Holdings,63,IFL.AX,A:IFLX,IOOF HOLDINGS,IOOF Holdings,,,,
105,Iress,63,IRE.AX,A:IREX,IRESS,Iress,,,,
106,James Hardie Industries Plc,63,JHX.AX,A:JHXX,JAMES HARDIE INDS.CDI.,James Hardie Industries Plc,,,,
107,Japara Healthcare,63,JHC.AX,A:JHCX,JAPARA HEALTHCARE,Japara Healthcare,,,,
108,JB Hi-Fi,63,JBH.AX,A:JBHX,JB HI-FI,JB Hi-Fi,,,,
109,Karoon Gas Australia,63,KAR.AX,A:KARX,KAROON ENERGY,Karoon Gas Australia,,,,
110,Lend Lease Group,63,LLC.AX,A:LLCX,LENDLEASE GROUP STAPLED UNITS,Lend Lease Group,,,,
111,Liquefied Natural Gas,63,LNG.AX,A:LNGX,LIQUEFIED NATURAL GAS SUSP - SUSP.03/05/20,Liquefied Natural Gas,,,,
112,Lynas Corp,63,LYC.AX,A:LYCX,LYNAS,Lynas Corp,,,,
113,MACA,63,MLD.AX,A:MLDX,MACA,MACA,,,,
114,MacMahon Holdings,63,MAH.AX,A:MAHX,MACMAHON HOLDINGS,MacMahon Holdings,,,,
115,Macquarie Group,63,MQG.AX,A:MQGX,MACQUARIE GROUP,Macquarie Group,,,,
116,Magellan Financial Group,63,MFG.AX,A:MFGX,MAGELLAN FINANCIAL GP.,Magellan Financial Group,,,,
117,Mayne Pharma Group,63,MYX.AX,A:MYXX,MAYNE PHARMA GROUP,Mayne Pharma Group,,,,
118,McMillan Shakespeare,63,MMS.AX,A:MMSX,MCMILLAN SHAKESPEARE,McMillan Shakespeare,,,,
119,Mesoblast,63,MSB.AX,A:MSBX,MESOBLAST,Mesoblast,,,,
120,Metcash,63,MTS.AX,A:MTSX,METCASH,Metcash,,,,
121,Mineral Resources,63,600392.SS,CN:TLT,SHENGHE RESOURCES HDG. 'A',Mineral Resources,,,,
122,Mirvac Group,63,MGR.AX,A:MGRX,MIRVAC GROUP STAPLED UNITS,Mirvac Group,,,,
123,Monadelphous,63,MND.AX,A:MNDX,MONADELPHOUS GROUP,Monadelphous,,,,
124,Mount Gibson Iron Ltd.,63,MGX.AX,A:MGXX,MOUNT GIBSON IRON,Mount Gibson Iron Ltd.,,,,
125,Myer Holdings,63,MYR.AX,A:MYRX,MYER HOLDINGS,Myer Holdings,,,,
126,MyState,63,MYS.AX,A:MYSX,MYSTATE,MyState,,,,
127,Nanosonics,63,NAN.AX,A:NANX,NANOSONICS,Nanosonics,,,,
128,National Australia Bank,63,NAB.AX,A:NABX,NATIONAL AUS.BANK,National Australia Bank,,,,
