,companyName,Freq,RIC,mnemonic,name,searchTerm,finalSearchTerm,DmitrySearchTerm,MarisSearchTerm,TwitterAccount,hashtagSearch,notes,FirstTerm,
101,Ingenia Communities Group,63,INA.AX,A:INAX,INGENIA COMMUNITIES GROUP STAPLED UNITS,Ingenia Communities,,,,,,no twitter,Ingenia,
102,Insurance Australia Group,63,QBE.AX,A:QBEX,QBE INSURANCE GROUP,Insurance Australia Group,,,,iagaust,,,Insurance,
103,InvoCare,63,IVC.AX,A:IVCX,INVOCARE,InvoCare,,,,,,no twitter,InvoCare,
104,IOOF Holdings,63,IFL.AX,A:IFLX,IOOF HOLDINGS,IOOF,,,,IOOF_Holdings,,,IOOF,
105,Iress,63,IRE.AX,A:IREX,IRESS,Iress,,,,iress,,,Iress,
106,James Hardie Industries Plc,63,JHX.AX,A:JHXX,JAMES HARDIE INDS.CDI.,James Hardie,,,,,,no twitter,James,
107,Japara Healthcare,63,JHC.AX,A:JHCX,JAPARA HEALTHCARE,Japara,,,,,,no twitter,Japara,
108,JB Hi-Fi,63,JBH.AX,A:JBHX,JB HI-FI,JB Hi-Fi,,,,JBHiFi,,,JB,
109,Karoon Gas Australia,63,KAR.AX,A:KARX,KAROON ENERGY,Karoon Gas,,,,,,no twitter,Karoon,
110,Lend Lease Group,63,LLC.AX,A:LLCX,LENDLEASE GROUP STAPLED UNITS,Lend Lease Group,,Lend Lease Group,,LendleaseGroup,,,LendleaseGroup,
111,Liquefied Natural Gas,63,LNG.AX,A:LNGX,LIQUEFIED NATURAL GAS SUSP - SUSP.03/05/20,Liquefied Natural Gas,Liquefied Natural Gas,Liquefied Natural Gas,,,Liquefiedas,no twitter,Liquefied gas,
112,Lynas Corp,63,LYC.AX,A:LYCX,LYNAS,Lynas,,Lynas,,lynas_corp,Lynas,,Lynas,
113,MACA,63,MLD.AX,A:MLDX,MACA,MACA,,MACA,,,MACA,no twitter,MACA,
114,MacMahon Holdings,63,MAH.AX,A:MAHX,MACMAHON HOLDINGS,MacMahon,,MacMahon,,,MacMahon,no twitter,MacMahon,
115,Macquarie Group,63,MQG.AX,A:MQGX,MACQUARIE GROUP,Macquarie,,Macquarie,,Macquarie,Macquarie,,Macquarie,
116,Magellan Financial Group,63,MFG.AX,A:MFGX,MAGELLAN FINANCIAL GP.,Magellan Financial,,Magellan Financial,,,MagellanFinancial,no twitter,Magellan,
117,Mayne Pharma Group,63,MYX.AX,A:MYXX,MAYNE PHARMA GROUP,Mayne Pharma,,Mayne Pharma,,,MaynePharma,no twitter,Mayne,
118,McMillan Shakespeare,63,MMS.AX,A:MMSX,MCMILLAN SHAKESPEARE,McMillan Shakespeare,,McMillan Shakespeare,,,McMillanShakespeare,no twitter,McMillan,
119,Mesoblast,63,MSB.AX,A:MSBX,MESOBLAST,Mesoblast,,Mesoblast,,Mesoblast,Mesoblast,,Mesoblast,
120,Metcash,63,MTS.AX,A:MTSX,METCASH,Metcash,,Metcash,,,Metcash,no twitter,Metcash,
121,Mineral Resources,63,600392.SS,CN:TLT,SHENGHE RESOURCES HDG. 'A',Mineral Resources,,Mineral Resources,,mrlminres,MineralResources,,Mineral,
122,Mirvac Group,63,MGR.AX,A:MGRX,MIRVAC GROUP STAPLED UNITS,Mirvac,,Mirvac,,mirvac,Mirvac,,Mirvac,
123,Monadelphous,63,MND.AX,A:MNDX,MONADELPHOUS GROUP,Monadelphous,,Monadelphous,,,Monadelphous,no twitter,Monadelphous,
124,Mount Gibson Iron Ltd.,63,MGX.AX,A:MGXX,MOUNT GIBSON IRON,Mount Gibson Iron,,Mount Gibson Iron,,,MountGibsonIron,no twitter,Mount,
125,Myer Holdings,63,MYR.AX,A:MYRX,MYER HOLDINGS,Myer,,Myer,,myer,Myer,,Myer,
126,MyState,63,MYS.AX,A:MYSX,MYSTATE,MyState,,MyState,,,MyState,no twitter,MyState,
127,Nanosonics,63,NAN.AX,A:NANX,NANOSONICS,Nanosonics,,Nanosonics,,nanosonicsltd,Nanosonics,,Nanosonics,
128,National Australia Bank,63,NAB.AX,A:NABX,NATIONAL AUS.BANK,nab,,nab,,NAB,nab,,National,
129,National Storage REIT,63,NSR.AX,A:NSRX,NATIONAL STORAGE REIT STAPLED UNITS,National Storage,,National Storage,,natstorage,NationalStorage,,National,
130,Navigator Global Investments,63,NGI.AX,A:NGIX,NAVIGATOR GLOBAL INVESTMENTS,Navigator Investments,,Navigator Investments,,,NavigatorInvestments,no twitter,Navigator,
131,Nearmap,63,NEA.AX,A:NEAX,NEARMAP,Nearmap,,Nearmap,,nearmap,Nearmap,,Nearmap,
132,New Hope,63,000876.SZ,CN:NHA,NEW HOPE LIUHE 'A',New Hope,,New Hope,,,NewHope,no twitter,New,
133,Newcrest Mining,63,NCM.AX,A:NCMX,NEWCREST MINING,Newcrest Mining,,Newcrest Mining,,newcrestmining,NewcrestMining,,Newcrest,
134,NEXTDC,63,NXT.AX,A:NXTX,NEXTDC,NEXTDC,,NEXTDC,,nextdc,NEXTDC,,NEXTDC,
135,NIB Holdings Ltd.,63,NHF.AX,A:NHFX,NIB HOLDINGS,NIB insurance,,NIB insurance,,nibhealthfunds,NIB,,NIB,
136,Nine Entertainment,63,CHAE.BO,IN:CNB,CHANNEL NINE ENTM.,Nine Entertainment,,Nine Entertainment,,9comms,NineEntertainment,,Nine,
137,Northern Star Resources,63,NST.AX,A:NSTX,NORTHERN STAR,Northern Star Resources,,Northern Star Resources,,,NorthernStar,no twitter,Northern,
138,Nufarm,63,NUF.AX,A:NUFX,NUFARM,Nufarm,,Nufarm,,,Nufarm,no twitter,Nufarm,
139,Oil Search,63,OSH.AX,A:OSHX,OIL SEARCH,Oil Search,,Oil Search,,oilsearchltd,OilSearch,,Oil,
140,OMNI BRIDGEWAY,63,OBL.AX,A:OBLX,OMNI BRIDGEWAY,OMNI BRIDGEWAY,,OMNI BRIDGEWAY,,,OMNIBRIDGEWAY,no twitter,OMNI,
141,Orica,63,ORI.AX,A:ORIX,ORICA,Orica,,Orica,,OricaLimited,Orica,,Orica,
142,Origin Energy,63,ORG.AX,A:ORGX,ORIGIN ENERGY (EX BORAL),Origin Energy,,Origin Energy,,OriginEnergy,OriginEnergy,,Origin,
143,Orocobre,63,ORE.AX,A:OREX,,Orocobre,,Orocobre,,orocobrelimited,Orocobre,,Orocobre,
144,Orora,63,600666.SS,CN:SPC,AURORA OPEL. A,Orora,,Orora,,OroraGroup,Orora,,Orora,
145,OZ Minerals Ltd,63,OZL.AX,A:OZLX,OZ MINERALS,OZ Minerals,,OZ Minerals,,ozminerals,OZMinerals,,OZ,
146,OzForex Group,63,OZFRY.PK,@OZFRY,OFX GROUP ADR 1:5,OzForex,,OzForex,,,OzForex,no twitter,OzForex,
147,Pact Group Holdings,63,PGH.AX,A:PGHX,PACT GROUP HOLDINGS,Pact Group,,Pact Group,,,PactGroup,no twitter,Pact,
148,Peet,63,PPC.AX,A:PPCX,PEET,Peet,,Peet,,,Peet,no twitter,Peet,
149,Pendal Group,63,PDL.AX,A:PDLX,PENDAL GROUP,Pendal Group,,Pendal Group,,pendalgroup,PendalGroup,,Pendal,
150,Perpetual,63,RCHA.L,399937,ROTHSCHILDS CONTN. 1994 9% PERP.,Perpetual,,Perpetual,,perpetual_ltd,Perpetual,,Perpetual,
151,Perseus Mining,63,PRU.AX,A:PRUX,PERSEUS MINING,Perseus Mining,,Perseus Mining,,perseusmining,PerseusMining,,Perseus,
152,Platinum Asset Mangement Ltd/Australia,63,PTM.AX,A:PTMX,PLATINUM ASSET MAN.,Platinum fund,,Platinum fund,,platassetmgmt,Platinumassets,,Platinum,
153,Premier Investments,63,PMV.AX,A:PMVX,PREMIER INVESTMENT,Premier Investments,,Premier Investments,,,PremierInvestments,no twitter,Premier,
154,Qantas Airways,63,QAN.AX,A:QANX,QANTAS AIRWAYS,Qantas Airways,,Qantas Airways,,Qantas,QantasAirways,,Qantas,
155,QBE Insurance Group,63,QBE.AX,A:QBEX,QBE INSURANCE GROUP,QB,,QB,,QBEaus,QBE,,QBE,
156,Qube Holdings,63,QUB.AX,A:QUBX,QUBE HOLDINGS,Qube,,Qube,,QubeHoldings,Qube,,Qube,
157,Ramsay Health Care,63,RHC.AX,A:RHCX,RAMSAY HEALTH CARE,Ramsay Health,,Ramsay Health,,ramsayhealth,RamsayHealth,,Ramsay,
158,REA Group,63,600111.SS,CN:IMR,CHIN.NTHN.RA.ETH. (GROUP) HTEC.'A',REA,,REA,,REA_Group,REA,,REA,
159,Regis Resources,63,RRL.AX,A:RRLX,REGIS RESOURCES,Regis Resources,,Regis Resources,,,RegisResources,,Regis,
160,Resolute Mining,63,RSG.AX,A:RSGX,RESOLUTE MINING,Resolute Mining,,Resolute Mining,,ResoluteMining,ResoluteMining,,Resolute,
161,Ridley,63,RIC.AX,A:RICX,RIDLEY,Ridley,,Ridley,,,Ridley,no twitter,Ridley,
162,Rio Tinto Ltd.,63,ACC.NS,IN:ASC,ACC,Rio Tinto,,Rio Tinto,,RioTinto,RioTinto,,Rio,
163,Sandfire Resources NL,63,SFRNA.AX^J19,A:SFRNAY,SANDFIRE RESOURCES NL DEFERRED,Sandfire Resources,,Sandfire Resources,,SandfireResLtd,SandfireResources,,Sandfire,
164,Santos,63,STBP3.SA,BR:STB,SANTOS BRASIL PARTICIPACOES ON,Santos,,Santos,,,Santos,no twitter,Santos,
